x	 y	 z	 vx	 vy	 vz	 [v]
1.314090	 -0.448140	 -0.241058	 0.005786	 0.012897	 0.005759	 0.015264
1.319876	 -0.435242	 -0.235299	 0.005647	 0.012945	 0.005785	 0.015262
1.325523	 -0.422298	 -0.229514	 0.005508	 0.012991	 0.005810	 0.015259
1.331031	 -0.409307	 -0.223705	 0.005368	 0.013035	 0.005834	 0.015257
1.336399	 -0.396272	 -0.217871	 0.005227	 0.013078	 0.005857	 0.015254
1.341626	 -0.383194	 -0.212013	 0.005086	 0.013120	 0.005880	 0.015251
1.346712	 -0.370073	 -0.206133	 0.004945	 0.013160	 0.005903	 0.015248
1.351658	 -0.356913	 -0.200230	 0.004804	 0.013199	 0.005924	 0.015245
1.356461	 -0.343714	 -0.194306	 0.004662	 0.013237	 0.005945	 0.015241
1.361123	 -0.330477	 -0.188360	 0.004519	 0.013273	 0.005966	 0.015238
1.365642	 -0.317204	 -0.182395	 0.004377	 0.013308	 0.005986	 0.015234
1.370018	 -0.303896	 -0.176409	 0.004234	 0.013341	 0.006005	 0.015230
1.374252	 -0.290555	 -0.170404	 0.004090	 0.013373	 0.006023	 0.015226
1.378342	 -0.277183	 -0.164381	 0.003947	 0.013403	 0.006041	 0.015222
1.382289	 -0.263780	 -0.158340	 0.003803	 0.013432	 0.006058	 0.015218
1.386092	 -0.250348	 -0.152282	 0.003659	 0.013459	 0.006075	 0.015213
1.389750	 -0.236889	 -0.146208	 0.003515	 0.013485	 0.006090	 0.015209
1.393265	 -0.223403	 -0.140117	 0.003370	 0.013510	 0.006106	 0.015204
1.396635	 -0.209893	 -0.134011	 0.003226	 0.013533	 0.006120	 0.015199
1.399861	 -0.196360	 -0.127891	 0.003081	 0.013555	 0.006134	 0.015194
1.402941	 -0.182805	 -0.121757	 0.002936	 0.013575	 0.006147	 0.015189
1.405877	 -0.169230	 -0.115610	 0.002791	 0.013594	 0.006160	 0.015183
1.408668	 -0.155636	 -0.109450	 0.002646	 0.013612	 0.006172	 0.015178
1.411314	 -0.142024	 -0.103278	 0.002501	 0.013628	 0.006183	 0.015172
1.413815	 -0.128396	 -0.097095	 0.002356	 0.013642	 0.006194	 0.015166
1.416170	 -0.114754	 -0.090902	 0.002210	 0.013655	 0.006204	 0.015161
1.418380	 -0.101098	 -0.084698	 0.002065	 0.013667	 0.006213	 0.015155
1.420446	 -0.087431	 -0.078485	 0.001920	 0.013678	 0.006222	 0.015148
1.422365	 -0.073754	 -0.072263	 0.001775	 0.013687	 0.006230	 0.015142
1.424140	 -0.060067	 -0.066034	 0.001630	 0.013694	 0.006237	 0.015136
1.425770	 -0.046373	 -0.059796	 0.001485	 0.013700	 0.006244	 0.015129
1.427254	 -0.032673	 -0.053553	 0.001340	 0.013705	 0.006250	 0.015122
1.428594	 -0.018968	 -0.047303	 0.001195	 0.013708	 0.006255	 0.015115
1.429788	 -0.005260	 -0.041047	 0.001050	 0.013710	 0.006260	 0.015108
1.430838	 0.008450	 -0.034787	 0.000905	 0.013711	 0.006264	 0.015101
1.431744	 0.022161	 -0.028523	 0.000761	 0.013710	 0.006268	 0.015094
1.432505	 0.035871	 -0.022255	 0.000617	 0.013708	 0.006271	 0.015086
1.433122	 0.049578	 -0.015985	 0.000473	 0.013704	 0.006273	 0.015079
1.433594	 0.063282	 -0.009712	 0.000329	 0.013699	 0.006274	 0.015071
1.433923	 0.076981	 -0.003437	 0.000185	 0.013693	 0.006275	 0.015063
1.434109	 0.090674	 0.002838	 0.000042	 0.013685	 0.006276	 0.015055
1.434151	 0.104359	 0.009114	 -0.000101	 0.013676	 0.006276	 0.015047
1.434050	 0.118035	 0.015389	 -0.000244	 0.013666	 0.006275	 0.015039
1.433807	 0.131700	 0.021664	 -0.000386	 0.013654	 0.006273	 0.015031
1.433421	 0.145354	 0.027937	 -0.000528	 0.013641	 0.006271	 0.015022
1.432893	 0.158995	 0.034208	 -0.000670	 0.013626	 0.006268	 0.015014
1.432223	 0.172621	 0.040476	 -0.000811	 0.013611	 0.006265	 0.015005
1.431412	 0.186232	 0.046741	 -0.000952	 0.013594	 0.006261	 0.014996
1.430459	 0.199826	 0.053002	 -0.001093	 0.013575	 0.006256	 0.014988
1.429366	 0.213401	 0.059258	 -0.001233	 0.013556	 0.006251	 0.014979
1.428133	 0.226957	 0.065509	 -0.001373	 0.013535	 0.006245	 0.014969
1.426761	 0.240492	 0.071754	 -0.001512	 0.013513	 0.006239	 0.014960
1.425248	 0.254005	 0.077993	 -0.001651	 0.013489	 0.006232	 0.014951
1.423597	 0.267494	 0.084225	 -0.001789	 0.013465	 0.006224	 0.014941
1.421808	 0.280959	 0.090449	 -0.001927	 0.013439	 0.006216	 0.014932
1.419881	 0.294398	 0.096665	 -0.002065	 0.013412	 0.006207	 0.014922
1.417816	 0.307810	 0.102872	 -0.002202	 0.013383	 0.006198	 0.014912
1.415614	 0.321193	 0.109070	 -0.002338	 0.013354	 0.006188	 0.014902
1.413276	 0.334546	 0.115259	 -0.002474	 0.013323	 0.006178	 0.014892
1.410802	 0.347869	 0.121436	 -0.002609	 0.013291	 0.006167	 0.014882
1.408193	 0.361160	 0.127603	 -0.002744	 0.013258	 0.006155	 0.014872
1.405449	 0.374418	 0.133758	 -0.002878	 0.013223	 0.006143	 0.014862
1.402572	 0.387641	 0.139901	 -0.003011	 0.013188	 0.006130	 0.014851
1.399560	 0.400829	 0.146031	 -0.003144	 0.013151	 0.006117	 0.014841
1.396416	 0.413980	 0.152148	 -0.003276	 0.013113	 0.006103	 0.014830
1.393140	 0.427093	 0.158251	 -0.003408	 0.013074	 0.006089	 0.014820
1.389732	 0.440167	 0.164340	 -0.003539	 0.013034	 0.006074	 0.014809
